
# IC Group  Range Sigil (RSG)     Kanji  CID-Range                Unicode Block Name

u-----      u-varsl-s             false  0xe0100..0xe01ef         Variation Selectors Supplement
ucyijg      u-yijng               false  0x4dc0..0x4dff           Yijing Hexagram Symbols
u-----      u                     false  0x530..0x58f             Armenian
u-----      u                     false  0x590..0x5ff             Hebrew
u-----      u                     false  0x700..0x74f             Syriac
u-----      u                     false  0x780..0x7bf             Thaana
u-----      u                     false  0x7c0..0x7ff             NKo
u-----      u                     false  0x800..0x83f             Samaritan
u-----      u                     false  0x840..0x85f             Mandaic
u-----      u                     false  0x860..0x86f             Syriac Supplement
u-----      u                     false  0x8a0..0x8ff             Arabic Extended-A
u-----      u                     false  0x900..0x97f             Devanagari
u-----      u                     false  0x980..0x9ff             Bengali
u-----      u                     false  0xa00..0xa7f             Gurmukhi
u-----      u                     false  0xa80..0xaff             Gujarati
u-----      u                     false  0xb00..0xb7f             Oriya
u-----      u                     false  0xb80..0xbff             Tamil
u-----      u                     false  0xc00..0xc7f             Telugu
u-----      u                     false  0xc80..0xcff             Kannada
u-----      u                     false  0xd00..0xd7f             Malayalam
u-----      u                     false  0xd80..0xdff             Sinhala
u-----      u                     false  0xe00..0xe7f             Thai
u-----      u                     false  0xe80..0xeff             Lao
u-----      u                     false  0xf00..0xfff             Tibetan
u-----      u                     false  0x1000..0x109f           Myanmar
u-----      u                     false  0x10a0..0x10ff           Georgian
u-----      u                     false  0x1200..0x137f           Ethiopic
u-----      u                     false  0x1380..0x139f           Ethiopic Supplement
u-----      u                     false  0x13a0..0x13ff           Cherokee
u-----      u                     false  0x1400..0x167f           Unified Canadian Aboriginal Syllabics
u-----      u                     false  0x1680..0x169f           Ogham
u-----      u                     false  0x16a0..0x16ff           Runic
u-----      u                     false  0x1700..0x171f           Tagalog
u-----      u                     false  0x1720..0x173f           Hanunoo
u-----      u                     false  0x1740..0x175f           Buhid
u-----      u                     false  0x1760..0x177f           Tagbanwa
u-----      u                     false  0x1780..0x17ff           Khmer
u-----      u                     false  0x1800..0x18af           Mongolian
u-----      u                     false  0x18b0..0x18ff           Unified Canadian Aboriginal Syllabics Extended
u-----      u                     false  0x1900..0x194f           Limbu
u-----      u                     false  0x1950..0x197f           Tai Le
u-----      u                     false  0x1980..0x19df           New Tai Lue
u-----      u                     false  0x19e0..0x19ff           Khmer Symbols
u-----      u                     false  0x1a00..0x1a1f           Buginese
u-----      u                     false  0x1a20..0x1aaf           Tai Tham
u-----      u                     false  0x1ab0..0x1aff           Combining Diacritical Marks Extended
u-----      u                     false  0x1b00..0x1b7f           Balinese
u-----      u                     false  0x1b80..0x1bbf           Sundanese
u-----      u                     false  0x1bc0..0x1bff           Batak
u-----      u                     false  0x1c00..0x1c4f           Lepcha
u-----      u                     false  0x1c80..0x1c8f           Cyrillic Extended-C
u-----      u                     false  0x1cc0..0x1ccf           Sundanese Supplement
u-----      u                     false  0x1cd0..0x1cff           Vedic Extensions
u-----      u                     false  0x2200..0x22ff           Mathematical Operators
u-----      u                     false  0x2300..0x23ff           Miscellaneous Technical
u-----      u                     false  0x2980..0x29ff           Miscellaneous Mathematical Symbols-B
u-----      u                     false  0x2a00..0x2aff           Supplemental Mathematical Operators
u-----      u                     false  0x2b00..0x2bff           Miscellaneous Symbols and Arrows
u-----      u                     false  0x2c00..0x2c5f           Glagolitic
u-----      u                     false  0x2c80..0x2cff           Coptic
u-----      u                     false  0x2d00..0x2d2f           Georgian Supplement
u-----      u                     false  0x2d30..0x2d7f           Tifinagh
u-----      u                     false  0x2d80..0x2ddf           Ethiopic Extended
u-----      u                     false  0xa000..0xa48f           Yi Syllables
u-----      u                     false  0xa490..0xa4cf           Yi Radicals
u-----      u                     false  0xa4d0..0xa4ff           Lisu
u-----      u                     false  0xa500..0xa63f           Vai
u-----      u                     false  0xa6a0..0xa6ff           Bamum
u-----      u                     false  0xa700..0xa71f           Modifier Tone Letters
u-----      u                     false  0xa800..0xa82f           Syloti Nagri
u-----      u                     false  0xa830..0xa83f           Common Indic Number Forms
u-----      u                     false  0xa840..0xa87f           Phags-pa
u-----      u                     false  0xa880..0xa8df           Saurashtra
u-----      u                     false  0xa8e0..0xa8ff           Devanagari Extended
u-----      u                     false  0xa900..0xa92f           Kayah Li
u-----      u                     false  0xa930..0xa95f           Rejang
u-----      u                     false  0xa980..0xa9df           Javanese
u-----      u                     false  0xa9e0..0xa9ff           Myanmar Extended-B
u-----      u                     false  0xaa00..0xaa5f           Cham
u-----      u                     false  0xaa60..0xaa7f           Myanmar Extended-A
u-----      u                     false  0xaa80..0xaadf           Tai Viet
u-----      u                     false  0xaae0..0xaaff           Meetei Mayek Extensions
u-----      u                     false  0xab00..0xab2f           Ethiopic Extended-A
u-----      u                     false  0xab30..0xab6f           Latin Extended-E
u-----      u                     false  0xab70..0xabbf           Cherokee Supplement
u-----      u                     false  0xabc0..0xabff           Meetei Mayek
u-----      u                     false  0xd800..0xdb7f           High Surrogates
u-----      u                     false  0xdb80..0xdbff           High Private Use Surrogates
u-----      u                     false  0xdc00..0xdfff           Low Surrogates
u-----      u                     false  0xfe20..0xfe2f           Combining Half Marks
u-----      u                     false  0x10000..0x1007f         Linear B Syllabary
u-----      u                     false  0x10080..0x100ff         Linear B Ideograms
u-----      u                     false  0x10100..0x1013f         Aegean Numbers
u-----      u                     false  0x10140..0x1018f         Ancient Greek Numbers
u-----      u                     false  0x10190..0x101cf         Ancient Symbols
